,source,target
0,5.0,46.0
0,53.0,56.0
0,94.0,35.0
0,97.0,83.0
0,86.0,54.0
0,75.0,96.0
0,77.0,29.0
0,59.0,92.0
0,25.0,11.0
0,69.0,99.0
0,99.0,87.0
0,12.0,100.0
0,36.0,34.0
0,27.0,94.0
0,26.0,67.0
0,95.0,32.0
0,50.0,19.0
0,48.0,93.0
0,82.0,33.0
0,33.0,98.0
0,44.0,75.0
0,92.0,28.0
0,50.0,26.0
0,59.0,68.0
0,35.0,27.0
0,8.0,13.0
0,21.0,23.0
0,43.0,7.0
0,4.0,77.0
0,42.0,38.0
0,99.0,69.0
0,6.0,26.0
0,10.0,58.0
0,50.0,67.0
0,29.0,4.0
0,27.0,35.0
0,83.0,80.0
0,45.0,61.0
0,14.0,57.0
0,1.0,75.0
0,51.0,100.0
0,84.0,99.0
0,90.0,43.0
0,89.0,3.0
0,16.0,55.0
0,59.0,68.0
0,33.0,101.0
0,84.0,94.0
0,20.0,52.0
0,7.0,32.0
0,29.0,47.0
0,87.0,99.0
0,61.0,2.0
0,1.0,10.0
0,88.0,44.0
0,70.0,74.0
0,30.0,67.0
0,75.0,1.0
0,70.0,14.0
0,51.0,93.0
0,86.0,60.0
0,49.0,82.0
0,13.0,8.0
0,77.0,29.0
0,72.0,63.0
0,6.0,26.0
0,69.0,7.0
0,24.0,48.0
0,55.0,102.0
0,21.0,66.0
0,33.0,101.0
0,71.0,46.0
0,77.0,4.0
0,40.0,48.0
0,29.0,77.0
0,82.0,49.0
0,58.0,44.0
0,88.0,96.0
0,24.0,8.0
0,51.0,24.0
0,69.0,95.0
0,17.0,81.0
0,41.0,103.0
0,30.0,11.0
0,50.0,6.0
0,89.0,40.0
0,28.0,31.0
0,27.0,65.0
0,26.0,50.0
0,72.0,63.0
0,7.0,69.0
0,55.0,102.0
0,101.0,105.0
0,74.0,104.0
0,93.0,100.0
0,57.0,22.0
0,90.0,32.0
0,64.0,74.0
0,3.0,21.0
0,20.0,84.0
0,70.0,57.0
0,51.0,107.0
0,96.0,88.0
0,4.0,106.0
0,89.0,51.0
0,5.0,53.0
0,28.0,31.0
0,48.0,89.0
0,84.0,41.0
0,87.0,52.0
0,99.0,95.0
0,33.0,101.0
0,22.0,14.0
0,55.0,102.0
0,50.0,26.0
0,61.0,15.0
0,49.0,108.0
0,87.0,103.0
0,31.0,35.0
0,85.0,90.0
0,27.0,65.0
0,107.0,13.0
0,95.0,109.0
0,64.0,74.0
0,8.0,1.0
0,7.0,99.0
0,105.0,82.0
0,26.0,50.0
0,104.0,70.0
0,75.0,80.0
0,81.0,73.0
0,108.0,105.0
0,49.0,108.0
0,4.0,106.0
0,20.0,84.0
0,42.0,33.0
0,85.0,29.0
0,15.0,61.0
0,35.0,28.0
0,51.0,89.0
0,111.0,110.0
0,109.0,20.0
0,51.0,107.0
0,33.0,101.0
0,31.0,65.0
0,8.0,51.0
0,69.0,7.0
0,87.0,52.0
0,100.0,12.0
0,4.0,77.0
0,23.0,37.0
0,33.0,105.0
0,6.0,67.0
0,65.0,106.0
0,41.0,109.0
0,64.0,111.0
0,111.0,110.0
0,26.0,64.0
0,48.0,40.0
0,73.0,113.0
0,35.0,28.0
0,34.0,78.0
0,74.0,104.0
0,77.0,65.0
0,112.0,99.0
0,106.0,4.0
0,112.0,90.0
0,33.0,101.0
0,55.0,102.0
0,40.0,51.0
0,77.0,114.0
0,49.0,108.0
0,103.0,84.0
0,5.0,53.0
0,22.0,57.0
0,34.0,54.0
0,7.0,112.0
0,106.0,115.0
0,48.0,107.0
0,105.0,117.0
0,98.0,82.0
0,64.0,116.0
0,98.0,108.0
0,15.0,16.0
0,101.0,105.0
0,85.0,9.0
0,73.0,113.0
0,40.0,3.0
0,106.0,65.0
0,29.0,109.0
0,33.0,101.0
0,70.0,6.0
0,104.0,110.0
0,31.0,4.0
0,52.0,103.0
0,41.0,35.0
0,74.0,111.0
0,54.0,78.0
0,112.0,84.0
0,14.0,22.0
0,3.0,21.0
0,74.0,104.0
0,106.0,114.0
0,57.0,60.0
0,111.0,72.0
0,100.0,89.0
0,16.0,61.0
0,115.0,65.0
0,101.0,33.0
0,48.0,107.0
0,115.0,77.0
0,74.0,110.0
0,40.0,51.0
0,92.0,31.0
0,74.0,111.0
0,48.0,21.0
0,73.0,113.0
0,77.0,114.0
0,114.0,106.0
0,111.0,116.0
0,43.0,99.0
0,48.0,3.0
0,33.0,105.0
0,74.0,104.0
0,7.0,11.0
0,50.0,26.0
0,107.0,40.0
0,67.0,60.0
0,105.0,117.0
0,106.0,115.0
0,51.0,21.0
0,52.0,103.0
0,3.0,107.0
0,111.0,64.0
0,68.0,29.0
0,28.0,35.0
0,31.0,4.0
0,109.0,87.0
0,67.0,70.0
0,111.0,116.0
0,114.0,77.0
0,43.0,109.0
0,30.0,7.0
0,117.0,118.0
0,44.0,58.0
0,55.0,102.0
0,106.0,31.0
0,108.0,105.0
0,103.0,84.0
0,73.0,113.0
0,99.0,76.0
0,7.0,11.0
0,21.0,48.0
0,106.0,92.0
0,36.0,54.0
0,33.0,101.0
0,52.0,103.0
0,14.0,72.0
0,105.0,117.0
0,6.0,26.0
0,110.0,104.0
0,75.0,24.0
0,4.0,92.0
0,65.0,77.0
0,65.0,115.0
0,22.0,14.0
0,115.0,114.0
0,117.0,118.0
0,111.0,74.0
0,48.0,107.0
0,51.0,40.0
0,29.0,9.0
0,119.0,28.0
0,20.0,30.0
0,15.0,61.0
0,101.0,105.0
0,113.0,120.0
0,104.0,116.0
0,92.0,106.0
0,55.0,102.0
0,74.0,110.0
0,23.0,51.0
0,99.0,76.0
0,54.0,78.0
0,48.0,8.0
0,118.0,101.0
0,22.0,14.0
0,36.0,63.0
0,31.0,4.0
0,3.0,8.0
0,110.0,116.0
0,42.0,101.0
0,68.0,29.0
0,95.0,109.0
0,78.0,54.0
0,74.0,104.0
0,42.0,105.0
0,121.0,102.0
0,122.0,82.0
0,9.0,28.0
0,5.0,79.0
0,3.0,37.0
0,68.0,119.0
0,114.0,65.0
0,103.0,35.0
0,115.0,114.0
0,105.0,117.0
0,111.0,74.0
0,40.0,21.0
0,116.0,111.0
0,57.0,70.0
0,81.0,12.0
0,73.0,113.0
0,4.0,106.0
0,121.0,45.0
0,68.0,28.0
0,110.0,116.0
0,61.0,15.0
0,92.0,106.0
0,68.0,123.0
0,19.0,50.0
0,31.0,92.0
0,67.0,82.0
0,45.0,61.0
0,113.0,80.0
0,122.0,67.0
0,48.0,8.0
0,101.0,33.0
0,55.0,102.0
0,102.0,121.0
0,101.0,42.0
0,54.0,36.0
0,14.0,122.0
0,65.0,114.0
0,3.0,21.0
0,76.0,112.0
0,76.0,99.0
0,116.0,111.0
0,24.0,12.0
0,29.0,119.0
0,105.0,101.0
0,56.0,53.0
0,73.0,113.0
0,74.0,110.0
0,126.0,115.0
0,19.0,60.0
0,111.0,104.0
0,101.0,118.0
0,107.0,100.0
0,49.0,108.0
0,110.0,116.0
0,36.0,63.0
0,113.0,120.0
0,43.0,109.0
0,44.0,51.0
0,111.0,74.0
0,107.0,3.0
0,19.0,30.0
0,70.0,90.0
0,29.0,28.0
0,24.0,81.0
0,77.0,65.0
0,55.0,102.0
0,115.0,77.0
0,121.0,61.0
0,101.0,49.0
0,14.0,122.0
0,8.0,100.0
0,48.0,107.0
0,29.0,123.0
0,56.0,79.0
0,102.0,121.0
0,4.0,106.0
0,41.0,4.0
0,77.0,114.0
0,80.0,99.0
0,116.0,104.0
0,41.0,92.0
0,127.0,54.0
0,113.0,43.0
0,42.0,101.0
0,24.0,12.0
0,108.0,105.0
0,113.0,109.0
0,106.0,4.0
0,73.0,113.0
0,114.0,65.0
0,21.0,18.0
0,117.0,42.0
0,113.0,43.0
0,119.0,28.0
0,104.0,128.0
0,120.0,73.0
0,68.0,29.0
0,74.0,116.0
